,,Данные по общеобразовательным школам Ыссык-Кульской области,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"№ 
п/п",Наименование школы,Адрес школы,Ф.И.О директора,"Числен-сть 
учащихся","Числен-ть 
учителей","Объем финансовых средств на 2014 год, в том числе:",,,"Наличие 
попечительских 
советов",,,,,,,
,,,,,,Всего,"Республик.
бюджет","Местный
бюджет",,,,,,,,
,Тюпский  район,,,,,,,,,,,,,,,
1,№6 сш им. А. Карымшакова,"с.Тюп, ул. Иссык-Кульская, 17.","Павлова Валентина Владимировна 
0701 123078  ",801,49,7808.7,7351.8,456.9,  -,,7399.8,48,7351.8,,,
2,№7 сш им. В. Кайкина,"с.Тюп, ул. Иссык-Кульская, 10.","Калпакова Гүлшат Асановна 
0701 123082",950,73,10441.3,9847.7,593.6, -,,9895.7,48,9847.7,,,
3,№9 сш Бирлик,"с.Бирлик, ул. Ленина, 18","Коңурбаева Жүрсүн Турдубековна
 0770 159920",210,18,2702.1,2554.9,147.2, -,,2602.9,48,2554.9,,,
4,№8 сш им. Д. Молдогазиева,"с. Шаты, ул. Нургазиева, 4.","Жумабаева Чолпон Ибраевна 
0773 126531",276,27,3486.9,3326.7,160.2, -,,3374.7,48,3326.7,,,
5,№35 сш им. С. Исмаева,"с. Ой-Булак, ул. Карыпжан, 35.","Омуралиева Мира  Ашыбаевна 
0779 631751",140,20,2607.7,2479.2,128.5, - ,,2527.2,48,2479.2,,,
6,№1 сш им. Ш. Султанова,"с. Ой-Тал, ул. Гагарина, 20.","Абдрахманова Айнура Калмаковна
 0773 618609",343,33,4189.1,4099.0,90.1, - ,,4147.0,48,4099.0,,,
7,№2 сш им. К. Усенбекова,"с. Кутургу, ул. Ленина, Б/н","Мурзабаева Шайыркүл  Абдылдаевна
 0700 434479",332,25,3674.4,3466.4,208.0, -,,3514.4,48,3466.4,,,
8,№ сш им. Ж. Бахтиярова,"с. Кичи-орукту, ул. Рахмат, б/н","Булакеева Кундуз Токтобаевна
 0778 000354",178,18,2864.3,2708.2,156.1, +,,2756.2,48,2708.2,,,
9,№3 сш Ак-Булун,"с.Ак-Булун, ул. Нооруз, 7.","Чолпонбаева Шахтыгул Сагыновна 
0773 500454",112,16,2219.3,2078.3,141.0, -,,2126.3,48,2078.3,,,
10,№26 сш им. М. Фрунзе,"с. Фрунзе, ул. Садыбекова, 24.","Абдыкеримова Сапия Белгожоевна 
0702 841725",148,18,2628.0,2553.5,74.5, -,,2601.5,48,2553.5,,,
11,№4 сш им. Ж. Мукамбаева,"с. Кюрменти, ул. Анвара, 4.","Такаев Адылбек Жумадылович 
0550 288871",791,59,8147.8,7839.7,308.1, +,,7887.7,48,7839.7,,,
12,№5 сш им. З. Мамбетсеитовой,"с. Балбай, ул. Орозбекова, 34","Бегалиев Токторбек Орозакунович 
0772 135783",384,30,4676.7,4531.0,145.7, - ,,4579.0,48,4531.0,,,
13,№ сш им. М.Темирова,"с. Корумду, ул. Сейдакматова, 30.","Молдалиев  Дөөлөтбек  Асанбекович 
0779 856117",400,26,4228.8,3954.5,274.3, -,,4002.5,48,3954.5,,,
14,№11 сш им. А. Кайдуева,"с.Коочу, ул.Кайдуева 31.","Солпиев Мелис Аскарович 
0772 833181",459,36,4879.5,4557.2,322.3, +,,4605.2,48,4557.2,,,
15,№27 сш им. З. Батырбаевой,"с. Ичке-Суу, ул.Ленина, 17","Аалиев  Каныбек Аалиевич 
0770 399272",264,24,2925.1,2774.8,150.3, -,,2822.8,48,2774.8,,,
16,№10 сш им. М. Элебаева,"с. Талды-Суу, ул. Усупбекова, 26.","Курманакунов Жениш Абдыкадырович 
0772 703784",797,62,8300.1,7913.1,387.0, -,,7961.1,48,7913.1,,,
17,№14 сш им. Омур Баатыр,"с. Жылуу-Булак, ул. Оморова Жакеева, 1","Осмонов Карыпбек Керимбекович 
0771 691300",360,26,4186.8,3991.3,195.5, -,,4039.3,48,3991.3,,,
18,№13 сш им. Б. Королиева,"с. Чон-Таш, ул. Баракова, 17.","Кулубеков Таалайбек Саткынбаевич 
0770618553",226,25,3071.6,2946.3,125.3, -,,2994.3,48,2946.3,,,
19,№17 сш им. К. Эгембердиева,"с. Сарытологой, ул. Бошкоева, 21","Шорукова Мухтар Амержанович 
0779 129186",239,21,3655.2,3490.0,165.2, -,,3538.0,48,3490.0,,,
20,№16 сш им. Т. Сыдыкбекова,"с. Кен-Суу, ул. Усупбек уулу Жакыбаалы, 16.","Ильясов Сагынбек Мусаевич 
0773 407932",446,34,5347.1,5165.7,181.4, -,,5213.7,48,5165.7,,,
21,№15 сш им. А. Муканова,"с. Санташ, ул. Айым Калканова №15","Шыгаева Гулина Чоокоевна
 0778 991528",296,33,4006.0,3765.2,240.8,  -,,3813.2,48,3765.2,,,
22,№18 сш им. А. Коенкозова,"с. Токтоян, ул. Кучукова, б/н","Албанов Калык  Жээнбаевич 
0773 551030",254,25,3256.7,3089.7,167.0, -,,3137.7,48,3089.7,,,
23,№19 сш им. А. Сопиева,"с.Тасма, ул. Бексултана, 28","Молдалиев  Эркинбай Токтогулович 
0772 860961",405,32,4659.6,4449.6,210.0, -,,4497.6,48,4449.6,,,
24,№29 сш им. К. Мамытова,"с. Чон -Тогузбай, ул. Ормонбекова, 27","Садыров  Эркинбек Ишенбаевич 
0773 514428",214,21,2847.0,2727.0,120.0, -,,2775.0,48,2727.0,,,
25,№20 сш им. Ж. Ашымова,"с. Арал, ул. Кенжебаев, 26","Жаныбаева  Гулжамал  Акуновна 
 0777 733713",373,29,4151.0,3928.0,223.0,+,,3976.0,48,3928.0,,,
26,№21 сш им. К. Карачева,"с.Сары-Добо, ул. Ынтымака, 56.","Букаев Абдыкерим Бектенович 
0777 650264",343,39,4196.5,4008.8,187.7, -,,4056.8,48,4008.8,,,
27,№22 сш им. К. Уметалиева,"с. Долон, ул. Ырысалиева, 46.","Тынаева Мария Өмуркановна 
0773 963004",206,24,2864.7,2745.4,119.3, -,,2793.4,48,2745.4,,,
28,№ сш им И. Касмалиева,"с. Мин-Булак, ул. Турдуке уулу Азиз, 22.","Жээнбаев  Кадырбек  Бейшеевич 
0778 900604",121,21,2148.5,2079.9,68.6, -,,2127.9,48,2079.9,,,
29,№34 нсш им. Ш. Тезекова,"с. Кош-Добо, ул. Токсобаева, б/н","Мукамбетов Жоомарт Усенович 
0773 804524",47,7,854.9,834.7,20.2, -,,882.7,48,834.7,,,
30,№23 сш им. Ж. Асаналиева,"с. Тогуз-Булак, ул. Ленина, 15.","Жамгырчиева Нурила Турсуновна 
0708 662198",229,22,3174.3,2853.6,320.7, -,,2901.6,48,2853.6,,,
31,№30 сш им Ш. Тагаева,"с. Сары-Булун, ул. Шопокова, 68.","Олонбаева Бактыгүл Кудайбергеновна 
0779 235343",128,18,2304.9,2214.4,90.5, -,,2262.4,48,2214.4,,,
32,№24 сш им. Э. Мамырканова,"с.Иссык-Куль, ул. Парковая, б-н.","Абдулаева Анара Сапаровна 
0550 760012",300,29,3703.3,3656.0,47.3, - ,,3704.0,48,3656.0,,,
33,№31 сш Ынтымак,"с. Ынтымак, ул. Ленина, 34.","Идрисова Айнура  Ильясовна 
0773 616720",126,16,2099.8,2025.0,74.8, -,,2073.0,48,2025.0,,,
34,№25 сш им. Т. Шевченко,"с. Михайловка, ул. Иссык-Кульская, б/н","Дикамбаева Суйумкан Жанышовна 
0773 329746",618,45,7590.6,7142.0,448.6, -,,7190.0,48,7142.0,,,
